[TA Ascii File]
DSC-60

File Name :	C:\TAData\2024êºë∫\MBBA Delta 2024-12-03 11-20.txt

[File Information]
File Name:	MBBA Delta 2024-12-03 11-20.tad
Sample Name:	MBBA Delta
Lot No:	
Acquire Date:	24/12/03
Acquire Time:	11:20:43(+0900)
Detector Type:	DSC-60
Detector Serial No:	C30945500120SA
Operator:	
Atmosphere:	íÇëf
Gas Flow:	200[ml/min]
Annotation:	
Pan Name:	±Ÿ–∆≥—
Sample Weight:	2.900[mg]
Molecular Weight:	267.37


[Measurements Program]
[Temperature Program]
Start Temp.	-20.0
Temp. Rate	Hold Temp.	Hold Time
[ C/min  ]	[   C  ]	[ min  ]
5.00	70.0	0
-5.00	-20.0	0
5.00	70.0	0
-5.00	-20.0	0


[Data]
Time	Temp	DSC
sec	ﬂC	mW
0.000000	-21.986700	0.092205
1.000000	-21.988298	0.091803
2.000000	-21.989199	0.091344
3.000000	-21.988499	0.090822
4.000000	-21.988100	0.090621
5.000000	-21.986198	0.089880
6.000000	-21.982100	0.087799
7.000000	-21.971399	0.083963
8.000000	-21.957699	0.077103
9.000000	-21.937300	0.065541
10.000000	-21.906698	0.048281
11.000000	-21.868799	0.024521
12.000000	-21.817799	-0.006391
13.000000	-21.764599	-0.044029
14.000000	-21.701799	-0.087244
15.000000	-21.634600	-0.134478
16.000000	-21.563299	-0.184080
17.000000	-21.486000	-0.234074
18.000000	-21.404799	-0.283192
19.000000	-21.325100	-0.330014
20.000000	-21.240599	-0.373991
21.000000	-21.157700	-0.414245
22.000000	-21.071499	-0.450601
23.000000	-20.983999	-0.482704
24.000000	-20.895399	-0.510808
25.000000	-20.804899	-0.534932
26.000000	-20.717899	-0.555568
27.000000	-20.629398	-0.573086
28.000000	-20.542398	-0.587824
29.000000	-20.454800	-0.600037
30.000000	-20.366400	-0.610002
31.000000	-20.278898	-0.618086
32.000000	-20.188700	-0.624477
33.000000	-20.101999	-0.629600
34.000000	-20.013899	-0.633882
35.000000	-19.924398	-0.637345
36.000000	-19.836399	-0.640124
37.000000	-19.749199	-0.642468
38.000000	-19.658699	-0.644401
39.000000	-19.572100	-0.645817
40.000000	-19.484499	-0.647089
41.000000	-19.397299	-0.648165
42.000000	-19.310099	-0.649060
43.000000	-19.221498	-0.649725
44.000000	-19.134998	-0.650342
45.000000	-19.046900	-0.650744
46.000000	-18.958500	-0.651016
47.000000	-18.872999	-0.651040
48.000000	-18.786999	-0.651074
49.000000	-18.702700	-0.651083
50.000000	-18.614899	-0.651155
51.000000	-18.528000	-0.651189
52.000000	-18.442299	-0.651370
53.000000	-18.356998	-0.651634
54.000000	-18.271700	-0.651839
55.000000	-18.184599	-0.652079
56.000000	-18.098200	-0.652322
57.000000	-18.013699	-0.652552
58.000000	-17.924900	-0.652758
59.000000	-17.838299	-0.652911
60.000000	-17.753099	-0.653002
61.000000	-17.666199	-0.653174
62.000000	-17.582100	-0.653370
63.000000	-17.495899	-0.653537
64.000000	-17.407700	-0.653901
65.000000	-17.320999	-0.654308
66.000000	-17.235600	-0.654710
67.000000	-17.148399	-0.655207
68.000000	-17.060799	-0.655743
69.000000	-16.976099	-0.656288
70.000000	-16.888399	-0.656857
71.000000	-16.800900	-0.657412
72.000000	-16.714399	-0.657943
73.000000	-16.628300	-0.658403
74.000000	-16.542000	-0.658866
75.000000	-16.457499	-0.659201
76.000000	-16.371500	-0.659641
77.000000	-16.284899	-0.659981
78.000000	-16.196199	-0.660302
79.000000	-16.109499	-0.660598
80.000000	-16.024899	-0.660971
81.000000	-15.936499	-0.661397
82.000000	-15.851398	-0.661890
83.000000	-15.765999	-0.662359
84.000000	-15.677700	-0.662751
85.000000	-15.590599	-0.663129
86.000000	-15.504398	-0.663310
87.000000	-15.418798	-0.663440
88.000000	-15.332100	-0.663626
89.000000	-15.246699	-0.663894
90.000000	-15.157499	-0.664282
91.000000	-15.069399	-0.664750
92.000000	-14.982299	-0.665387
93.000000	-14.895100	-0.665941
94.000000	-14.808199	-0.666549
95.000000	-14.723800	-0.667070
96.000000	-14.637499	-0.667530
97.000000	-14.549799	-0.668056
98.000000	-14.461999	-0.668668
99.000000	-14.374999	-0.669161
100.000000	-14.285699	-0.669582
101.000000	-14.200399	-0.670137
102.000000	-14.115000	-0.670567
103.000000	-14.027499	-0.670936
