TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/07/01
TIME,17:50:46
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.00109
MAXY,    10.00000
MINY,    -0.88292
XYDATA
900.0000,0.0010936
899.8000,0.00112481
899.6000,0.00112147
899.4000,0.00109055
899.2000,0.0010647
899.0000,0.00105121
898.8000,0.00105187
898.6000,0.0010884
898.4000,0.00108769
898.2000,0.0010659
898.0000,0.0010644
897.8000,0.00107378
897.6000,0.00106805
897.4000,0.00104041
897.2000,0.0010342
897.0000,0.00104876
896.8000,0.00103002
896.6000,0.00100817
896.4000,0.000991638
896.2000,0.00100746
896.0000,0.00103957
895.8000,0.00102035
895.6000,0.00101331
895.4000,0.00102835
895.2000,0.00101826
895.0000,0.00100919
894.8000,0.000992294
894.6000,0.00100005
894.4000,0.00102853
894.2000,0.000990683
894.0000,0.000974147
893.8000,0.000972655
893.6000,0.000974744
893.4000,0.00100119
893.2000,0.000993846
893.0000,0.000983698
892.8000,0.000971759
892.6000,0.00094627
892.4000,0.000966029
892.2000,0.000970446
892.0000,0.000942868
891.8000,0.000945972
891.6000,0.00094436
891.4000,0.00093857
891.2000,0.000945017
891.0000,0.0009326
890.8000,0.000921199
890.6000,0.000924482
890.4000,0.000914214
890.2000,0.000909857
890.0000,0.000884606
889.8000,0.000875413
889.6000,0.000902873
889.4000,0.000901201
889.2000,0.000883173
889.0000,0.00086431
888.8000,0.000880905
888.6000,0.000915587
888.4000,0.000912782
888.2000,0.000885382
888.0000,0.000868728
887.8000,0.000888068
887.6000,0.000900067
887.4000,0.000890038
887.2000,0.000884487
887.0000,0.000869026
886.8000,0.000869862
886.6000,0.000869742
886.4000,0.000857505
886.2000,0.000882636
886.0000,0.000892605
885.8000,0.000887233
885.6000,0.000881323
885.4000,0.00087213
885.2000,0.000880248
885.0000,0.000880965
884.8000,0.000885919
884.6000,0.000888904
884.4000,0.000894038
884.2000,0.000879592
884.0000,0.000859057
883.8000,0.0008741
883.6000,0.000897739
883.4000,0.000937316
883.2000,0.000925795
883.0000,0.000904126
882.8000,0.000884785
882.6000,0.000884606
882.4000,0.000908424
882.2000,0.000890396
882.0000,0.000908543
881.8000,0.000921557
881.6000,0.000901798
881.4000,0.000930153
881.2000,0.000947166
881.0000,0.000900067
880.8000,0.000876906
880.6000,0.000898694
880.4000,0.000893918
880.2000,0.000900365
880.0000,0.00091499
879.8000,0.000899052
879.6000,0.000861087
879.4000,0.000845984
879.2000,0.000888248
879.0000,0.000882218
878.8000,0.000849566
878.6000,0.000844313
878.4000,0.000837209
878.2000,0.0008233
