TITLE	Azo-Br-0min
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/07/04
TIME	15:17:27
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  650.0000
LASTX	  300.0000
NPOINTS	    1751
FIRSTY	    -0.00028
MAXY	     0.38715
MINY	    -0.00036
XYDATA
650.0000	-0.000278294
649.8000	-0.000322646
649.6000	-0.000357209
649.4000	-0.000349568
649.2000	-0.000319602
649.0000	-0.000299187
648.8000	-0.000296381
648.6000	-0.00031614
648.4000	-0.000325213
648.2000	-0.000318229
648.0000	-0.000328019
647.8000	-0.000317632
647.6000	-0.000280741
647.4000	-0.000268444
647.2000	-0.00030826
647.0000	-0.00032981
646.8000	-0.000316916
646.6000	-0.000328795
646.4000	-0.000324437
646.2000	-0.000299545
646.0000	-0.000304022
645.8000	-0.00030432
645.6000	-0.000297097
645.4000	-0.000314647
645.2000	-0.000296381
645.0000	-0.000266832
644.8000	-0.000283368
644.6000	-0.000284979
644.4000	-0.000279607
644.2000	-0.000285875
644.0000	-0.000294471
643.8000	-0.000272384
643.6000	-0.00025358
643.4000	-0.00027125
643.2000	-0.000287009
643.0000	-0.000305693
642.8000	-0.000316856
642.6000	-0.000298411
642.4000	-0.000292859
642.2000	-0.000332854
642.0000	-0.000352135
641.8000	-0.000357985
641.6000	-0.000324258
641.4000	-0.000300082
641.2000	-0.000335421
641.0000	-0.00033172
640.8000	-0.000289397
640.6000	-0.00029453
640.4000	-0.000331959
640.2000	-0.00031405
640.0000	-0.000287964
639.8000	-0.000283786
639.6000	-0.000290113
639.4000	-0.000306827
639.2000	-0.000309096
639.0000	-0.000301694
638.8000	-0.000296082
638.6000	-0.000304022
638.4000	-0.000338883
638.2000	-0.000331063
638.0000	-0.000326706
637.8000	-0.000286651
637.6000	-0.000251312
637.4000	-0.000299246
637.2000	-0.000335898
637.0000	-0.000354821
636.8000	-0.00031417
636.6000	-0.000279249
636.4000	-0.000296679
636.2000	-0.000307066
636.0000	-0.000273279
635.8000	-0.000263728
635.6000	-0.000299903
635.4000	-0.000317214
635.2000	-0.000319363
635.0000	-0.000319602
634.8000	-0.000288382
634.6000	-0.000289755
634.4000	-0.000299545
634.2000	-0.000318707
634.0000	-0.000338047
633.8000	-0.000289098
633.6000	-0.00027322
633.4000	-0.000300739
633.2000	-0.000293277
633.0000	-0.000289098
632.8000	-0.000306111
632.6000	-0.000305634
632.4000	-0.000304917
632.2000	-0.000284621
632.0000	-0.000294411
631.8000	-0.000303485
631.6000	-0.000290949
631.4000	-0.000270653
631.2000	-0.000285576
631.0000	-0.00031799
630.8000	-0.000295127
630.6000	-0.000279786
630.4000	-0.000302828
630.2000	-0.000315185
