[TA Ascii File]
DSC-60

File Name :	C:\TAData\2021Akiba\rac-IrC9 2023-08-28 15-48.txt

[File Information]
File Name:	rac-IrC9 2023-08-28 15-48.tad
Sample Name:	rac-IrC9
Lot No:	
Acquire Date:	23/08/28
Acquire Time:	15:48:10(+0900)
Detector Type:	DSC-60
Detector Serial No:	C30945500120SA
Operator:	
Atmosphere:	窒素
Gas Flow:	50[ml/min]
Annotation:	
Pan Name:	ｱﾙﾐﾆｳﾑ
Sample Weight:	2.900[mg]
Molecular Weight:	2070.08


[Measurements Program]
[Temperature Program]
Start Temp.	
Temp. Rate	Hold Temp.	Hold Time
[ C/min  ]	[   C  ]	[ min  ]
10.00	150.0	0
-10.00	-20.0	0
10.00	150.0	0
-10.00	-20.0	0


[Data]
Time	Temp	DSC
sec	ﾟC	mW
0.000000	24.249399	-0.031754
1.000000	24.249001	-0.031567
2.000000	24.248499	-0.031237
3.000000	24.248899	-0.030821
4.000000	24.250401	-0.031242
5.000000	24.254601	-0.033878
6.000000	24.276499	-0.040546
7.000000	24.315701	-0.054017
8.000000	24.377199	-0.076763
9.000000	24.458900	-0.110129
10.000000	24.560801	-0.154105
11.000000	24.678900	-0.207591
12.000000	24.810999	-0.267837
13.000000	24.952099	-0.331583
14.000000	25.099800	-0.395775
15.000000	25.256001	-0.457881
16.000000	25.415600	-0.515768
17.000000	25.577799	-0.568221
18.000000	25.742800	-0.615005
19.000000	25.910500	-0.655800
20.000000	26.076500	-0.690826
21.000000	26.246201	-0.720619
22.000000	26.416800	-0.745838
23.000000	26.588800	-0.766929
24.000000	26.758900	-0.784504
25.000000	26.929199	-0.799147
26.000000	27.100899	-0.811125
27.000000	27.271700	-0.820903
28.000000	27.441799	-0.829021
29.000000	27.613400	-0.835752
30.000000	27.785299	-0.841291
31.000000	27.957300	-0.846056
32.000000	28.126900	-0.850107
33.000000	28.299900	-0.853427
34.000000	28.470400	-0.856379
35.000000	28.645199	-0.858900
36.000000	28.815001	-0.861047
37.000000	28.986799	-0.863009
38.000000	29.159899	-0.864769
39.000000	29.331499	-0.866247
40.000000	29.503300	-0.867630
41.000000	29.677000	-0.868907
42.000000	29.848099	-0.870093
43.000000	30.018099	-0.871170
44.000000	30.189499	-0.872016
45.000000	30.359100	-0.872667
46.000000	30.530600	-0.873284
47.000000	30.702700	-0.873820
48.000000	30.875799	-0.874394
49.000000	31.043999	-0.875068
50.000000	31.215399	-0.875882
51.000000	31.384399	-0.876680
52.000000	31.556099	-0.877465
53.000000	31.726599	-0.878202
54.000000	31.898199	-0.879072
55.000000	32.070900	-0.879876
56.000000	32.241100	-0.880737
57.000000	32.410797	-0.881660
58.000000	32.583500	-0.882760
59.000000	32.755001	-0.883818
60.000000	32.926899	-0.884947
61.000000	33.098099	-0.886056
62.000000	33.267799	-0.886932
63.000000	33.437199	-0.887726
64.000000	33.611401	-0.888472
65.000000	33.782799	-0.889123
66.000000	33.953899	-0.889859
67.000000	34.127201	-0.890792
68.000000	34.294498	-0.891476
69.000000	34.466499	-0.892045
70.000000	34.636700	-0.892634
71.000000	34.807999	-0.893122
72.000000	34.978001	-0.893567
73.000000	35.152599	-0.894184
74.000000	35.322399	-0.894901
75.000000	35.494499	-0.895748
76.000000	35.666901	-0.896556
77.000000	35.838398	-0.897293
78.000000	36.006901	-0.898001
79.000000	36.176098	-0.898795
80.000000	36.347099	-0.899570
81.000000	36.518898	-0.900297
82.000000	36.690899	-0.900929
83.000000	36.860001	-0.901546
84.000000	37.031300	-0.902058
85.000000	37.201401	-0.902512
86.000000	37.370201	-0.903038
87.000000	37.541500	-0.903608
88.000000	37.712299	-0.904119
89.000000	37.883598	-0.904626
90.000000	38.051498	-0.905167
91.000000	38.223099	-0.905578
92.000000	38.394897	-0.906071
93.000000	38.564301	-0.906640
94.000000	38.736900	-0.907358
95.000000	38.906101	-0.907951
96.000000	39.077698	-0.908760
97.000000	39.246399	-0.909625
98.000000	39.418999	-0.910376
99.000000	39.588699	-0.910931
100.000000	39.758698	-0.911606
101.000000	39.931801	-0.912209
102.000000	40.099701	-0.912754
103.000000	40.271099	-0.913395
104.000000	40.441601	-0.914069
105.000000	40.611900	-0.914816
106.000000	40.782200	-0.915581
107.000000	40.952000	-0.916323
108.000000	41.122200	-0.917136
109.000000	41.295998	-0.918102
